ID_ALMOX;ID_EMPRESA;COD_FILIAL_ERP;COD_ALMOX;DESCRICAO;DT_INICIO;DT_FECHAMENTO
1;1;0101;01;MATERIA PRIMA                 ;;
2;1;0101;02;PRODUTOS EM ELABORACAO        ;;
3;1;0101;03;PRODUTOS ACABADOS             ;;
4;1;0101;04;MATERIAIS DE CONSUMO          ;01/01/2000;
5;1;0101;05;TERCEIROS - MATERIA PRIMA     ;;
6;1;0101;06;MERCADORIA                    ;01/01/2012;
7;1;0101;07;TERCEIROS NOVO CONTRATO MACAE ;;
8;1;0101;08;[USO CONTABIL]                ;;
9;1;0101;09;[USO CONTABIL]                ;;
10;1;0101;10;[USO CONTABIL]                ;;
11;1;0101;11;SEDE - USADOS                 ;01/05/2011;
12;1;0101;12;[...]                         ;;
13;1;0101;13;IMOBILIZADO                   ;;
14;1;0101;14;[...]                         ;;
15;1;0101;15;[...]                         ;;
16;1;0101;16;[...]                         ;;
17;1;0101;17;[...]                         ;;
18;1;0101;30;SCP                           ;;
19;1;0101;96;[RESERVADO MICROSIGA]         ;01/01/2000;
20;1;0101;97;[RESERVADO MICROSIGA]         ;01/01/2000;
21;1;0101;98;INSPECAO QUALIDADE [INTERNO]  ;01/01/2000;
22;1;0101;99;INVENTARIO [INTERNO]          ;;
23;1;0101;18;[...]                         ;;
24;1;0101;70;BASE MACAE                    ;11/04/2014;
25;1;0101;71;CONTRATO MACAE - CARAPEBA 1   ;06/05/2014;
26;1;0101;72;CONTRATO MACAE - CARAPEBA 2   ;06/05/2014;
27;1;0101;73;CONTRATO MACAE - PARGO        ;06/05/2014;
28;1;0101;74;CONTRATO MACAE - VERMELHO 1   ;06/05/2014;
29;1;0101;75;CONTRATO MACAE - VERMELHO 2   ;06/05/2014;
30;1;0101;76;CONTRATO MACAE - VERMELHO 3   ;06/05/2014;
31;1;0101;77;CONTRATO MACAE - GAROUPA      ;07/05/2014;
32;1;0101;95;OBRA KLABIN - PROJETO PUMA    ;25/09/2014;
33;1;0101;40;ARCELOR CDQ                   ;13/07/2015;
34;1;0119;93;PORTO IMETAME-1;27/10/2015;
35;1;0101;44;FIBRIA ARACRUZ                ;04/01/2016;
36;1;0119;81;PROJETO WAG MANIFOLD-1;02/03/2015;
37;1;0101;66;SUZANO MUCURI - EMERGENCIA    ;15/03/2016;
38;1;0112;91;BOP - PROJETO HORIZONTE II    ;17/03/2016;
39;1;0112;51;ARCELOR MITTAL - CTE          ;30/03/2016;
40;1;0101;32;ARCELOR MITTAL - LTQ          ;30/03/2016;
41;1;0101;89;GERDAU - ACO MINAS (PA)       ;01/04/2016;
42;1;0101;23;IP MOGI GUACU (DESCASCADOR)   ;03/04/2016;
43;1;0101;78;ARCELOR MITTAL - ACIARIA      ;05/04/2016;
44;1;0101;82;KLABIN - TELEMACO BORBA       ;11/04/2016;
45;1;0101;80;LF - PROJETO HORIZONTE II     ;25/04/2016;
46;1;0101;31;SEC - PROJETO HORIZONTE II    ;25/04/2016;
47;1;0101;42;ARCELOR - CONVERTEDOR (EMERG) ;26/04/2016;
48;1;0101;56;IP LUIZ ANTONIO - PG          ;04/05/2016;
49;1;0101;87;SUZANO IMPERATRIZ - PG        ;16/05/2016;
50;1;0101;36;TESTE (INFORMATICA)           ;16/05/2016;
51;1;0101;84;ARCELOR MITTAL - ACIARIA      ;19/05/2016;
52;1;0119;65;PROJETO - MONTAGEM SKID SUEZ-1;01/06/2016;
53;1;0101;90;CENIBRA - PA                  ;06/06/2016;
54;1;0101;63;ARCELOR - SINTERIZACAO        ;08/06/2016;
55;1;0101;86;CSA - SANTA CRUZ (EMERG)      ;25/06/2016;
56;1;0101;53;PG VERACEL                    ;28/06/2016;
57;1;0101;92;PG SUAZANO MUCURI EMERGENCIA  ;28/06/2016;
